OBJECTID,INCNUM,SERVICE_TYPE,OCCURRED_DT,OCCURRED_TM,UDTEXT24A,UDTEXT24B,UDTEXT24C,UDTEXT24D,DISPOSITION,STREET_N,STREET,STREET_T,STREET_G,CITY,CITNUM,SEX,RACE,CIT_AGE,CIT_WEAPON,CIT_COND_TYPE,OFFNUM,OFF_WEAPON,OFF_RACE,OFF_SEX,OFF_AGE,OFF_YR_EMPLOY,OFF_COND_TYPE
1,19850,,2017-03-05,03:08:00:000,OPERATIONS DIVISION,NORTHWEST DISTRICT,NW LATE SHIFT,,,6380,34th,Street,W,Indianapolis,11434,Male,Black,23,Suspect - Handgun,Gunshot Wound,3118,IMPD - Duty Handgun,White,Male,30,8,
2,19988,Call For Service,2016-10-19,15:10:00:000,OPERATIONS DIVISION,EAST DISTRICT,ED MIDDLE SHIFT,,,35,Denny,Street,N,Indianapolis,9755,Male,Black,51,,Gunshot Wound,2874,IMPD - Duty Handgun,White,Male,27,2,No injuries noted or visible
3,19988,Call For Service,2016-10-19,15:10:00:000,OPERATIONS DIVISION,EAST DISTRICT,ED MIDDLE SHIFT,,,35,Denny,Street,N,Indianapolis,11692,Male,Black,40,,No injuries noted or visible,2874,IMPD - Duty Handgun,White,Male,27,2,No injuries noted or visible
4,19509,,2017-02-21,23:30:00:000,HOMELAND SECURITY DIVISION,HOMELAND SECURITY BUREAU/TACTICAL,CANINE SECTION,CANINE UNIT - LATE,,3401,10th,Street,E,Indianapolis,4598,Male,Black,20,,No injuries noted or visible,2153,IMPD - Duty Handgun,White,Male,58,20,
5,16729,,2016-08-23,04:42:00:000,OPERATIONS DIVISION,EAST DISTRICT,ED LATE SHIFT,,Justified,3636,Foxtail,Drive,,Indianapolis,9035,Male,Black,48,,Gunshot Wound,2469,IMPD - Duty Handgun,White,Male,45,9,
6,17719,,2016-11-25,15:12:00:000,OPERATIONS DIVISION,EAST DISTRICT,ED MIDDLE SHIFT,,,1810,Brrokside,Avenue,,Indianapolis,10209,Male,Black,30,Suspect - Handgun,Gunshot Wound,3472,IMPD - Duty Handgun,White,Male,27,0,No injuries noted or visible
7,17719,,2016-11-25,15:12:00:000,OPERATIONS DIVISION,EAST DISTRICT,ED MIDDLE SHIFT,,,1810,Brrokside,Avenue,,Indianapolis,10233,Male,Black,25,Suspect - Handgun,No injuries noted or visible,3472,IMPD - Duty Handgun,White,Male,27,0,No injuries noted or visible
8,17983,,2016-12-12,13:02:00:000,OPERATIONS DIVISION,NORTH DISTRICT,ND DAY SHIFT,ND DAY SHIFT,,3330,Meridian,Street,N,Indianapolis,10362,Male,Black,24,,No injuries noted or visible,1355,IMPD - Duty Handgun,White,Male,46,14,No injuries noted or visible
9,12328,,2014-01-21,11:01:00:000,ADMINISTRATION DIVISION,TRAINING BUREAU,FIREARMS TRAINING SECTION,,Justified,8265,Harcourt,Road,N,Indianapolis,764,Male,White,56,Suspect - Handgun,Death,193,IMPD SWAT - Machine Gun ,White,Male,51,23,
10,12356,,2014-04-29,02:59:00:000,CRIMINAL INVESTIGATION DIVISION,NARCOTICS & GANGS,NARCOTICS SECTION,EAST DAY TACT NARCOTICS,Justified,2080,Shadeland,Avenue,N,Indianapolis,222,Male,Black,25,Suspect - Rifle,Gunshot Wound,2565,IMPD - Duty Handgun,White,Male,39,8,No injuries noted or visible
11,16590,,2016-07-25,18:37:00:000,CRIMINAL INVESTIGATION DIVISION,HOMICIDE AND ROBBERY,ROBBERY/AGG ASSAULT SECTION,ROBBERY/AGG ASSAULT UNIT (MIDDLE),,2800,Newton,Avenue,,Indianapolis,8699,Male,Black,32,Suspect - Handgun,Death,2721,IMPD - Patrol Rifle,White,Male,38,9,
12,12352,,2014-03-05,20:00:00:000,HOMELAND SECURITY DIVISION,HOMELAND SECURITY BUREAU/TACTICAL,SWAT SECTION,,Justified,1633,State,Street,S,Indianapolis,104,Male,White,29,Suspect - Handgun,Death,956,Personal Patrol Rifle,White,Male,49,26,No injuries noted or visible
13,12352,,2014-03-05,20:00:00:000,HOMELAND SECURITY DIVISION,HOMELAND SECURITY BUREAU/TACTICAL,SWAT SECTION,,Justified,1633,State,Street,S,Indianapolis,104,Male,White,29,Suspect - Handgun,Death,2517,IMPD - Duty Handgun,White,Male,32,8,Gunshot Wound
14,12358,,2014-07-15,01:30:00:000,HOMELAND SECURITY DIVISION,HOMELAND SECURITY BUREAU/TACTICAL,SWAT SECTION,SWAT UNIT,Justified,1300,Pruitt,Street,W,Indianapolis,872,Female,Black,20,Suspect - Handgun,Gunshot Wound,2517,IMPD - Duty Handgun,White,Male,32,8,No injuries noted or visible
15,5964,Warrant Service,2014-11-24,12:16:00:000,HOMELAND SECURITY DIVISION,HOMELAND SECURITY BUREAU/TACTICAL,CANINE SECTION,CANINE UNIT - DAY TACTICAL,Justified,2511,Keystone,Avenue,S,Indianapolis,2078,Male,White,37,Suspect - Unarmed,Gunshot Wound,424,IMPD - Duty Handgun,White,Male,38,16,
16,16524,,2016-07-25,18:37:00:000,HOMELAND SECURITY DIVISION,HOMELAND SECURITY BUREAU/TACTICAL,CANINE SECTION,CANINE UNIT - LATE TACTICAL,,2800,Newton,Avenue,,Indianapolis,8699,Male,Black,32,Suspect - Handgun,Death,2635,IMPD - Patrol Rifle,White,Male,54,25,
17,4383,Call For Service,2014-08-10,01:10:00:000,OPERATIONS DIVISION,NORTH DISTRICT,ND LATE SHIFT,,Justified,6407,Park Central,Drive,W,Indianapolis,1113,Male,Black,23,Suspect - Handgun,Gunshot Wound,2262,IMPD - Duty Handgun,White,Male,61,33,
18,4383,Call For Service,2014-08-10,01:10:00:000,OPERATIONS DIVISION,NORTH DISTRICT,ND LATE SHIFT,,Justified,6407,Park Central,Drive,W,Indianapolis,1113,Male,Black,23,Suspect - Handgun,Gunshot Wound,1515,Duty Handgun,White,Male,35,11,
